prod_descricao;prod_marca;prod_price;prod_dataref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
Loção intensiva Corporal Hidratante Neutrogena Norwegian Formula - 400ml; Neutrogena;79.9;25/08/2024 13:26;12.3;82;4;29.3;29;9;29.2;45;9;16.3;51;5;20.3;83;6;tarde
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antiacne FPS50 - 40ml; Nivea;51.03;06/09/2024 08:33;18.3;77;5;28.1;28;8;28.0;62;9;16.4;68;6;23.4;89;6;manha
NIVEA Sun Protetor Solar Tripla Proteção Antissinais Fps 65 - 40ml; Nivea;55.93;06/09/2024 08:33;18.3;77;5;28.1;28;8;28.0;62;9;16.4;68;6;23.4;89;6;manha
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;37.99;26/08/2024 22:46;11.2;71;5;22.0;57;7;22.2;57;7;13.4;77;6;19.4;60;6;noite
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;37.99;26/08/2024 09:55;11.3;71;5;18.1;73;7;21.3;43;7;12.1;62;5;17.2;88;5;manha
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;37.99;03/09/2024 13:44;30.1;35;9;31.0;16;9;33.0;47;11;23.2;65;7;24.4;74;8;tarde
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;37.99;26/08/2024 22:46;8.3;71;1;22.2;53;1;24.3;54;1;12.4;82;1;18.1;64;1;noite
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;37.99;02/09/2024 20:37;17.1;83;1;25.0;24;1;29.0;62;1;16.2;82;1;22.1;83;1;noite
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;37.99;24/08/2024 22:49;15.3;94;1;22.1;46;1;29.4;66;1;12.0;71;1;23.3;78;1;noite
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;37.99;23/08/2024 21:36;17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27.0;54;1;noite
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;37.99;27/08/2024 18:17;12.1;71;1;28.3;35;7;32.4;34;10;15.0;72;1;19.0;64;1;noite
Neutrogena Hydro Boost Kit – Gel Creme para Olhos + Hidratante Facial FSP25 + Sérum - Kit; Neutrogena;209.9;11/09/2024 14:06;32.1;21;9;29.2;29;8;35.2;47;11;28.0;62;8;31.0;55;9;tarde
Neutrogena Hydro Boost Kit – Gel Creme para Olhos + Sérum Hidratante Facial - Kit; Neutrogena;201.98;05/09/2024 20:44;17.1;83;1;26.4;32;1;31.2;49;1;15.2;59;1;23.1;83;1;noite
Neutrogena Hydro Boost Kit – Gel Creme para Olhos + Sérum Hidratante Facial - Kit; Neutrogena;201.98;11/09/2024 14:06;32.1;21;9;29.2;29;8;35.2;47;11;28.0;62;8;31.0;55;9;tarde
Neutrogena Hydro Boost Kit – Gel Hidratante Facial + Gel Creme para Olhos + Sérum - Kit; Neutrogena;212.9;05/09/2024 20:44;17.1;83;1;26.4;32;1;31.2;49;1;15.2;59;1;23.1;83;1;noite
Neutrogena Hydro Boost Kit – Gel Hidratante Facial + Gel Creme para Olhos + Sérum - Kit; Neutrogena;201.9;11/09/2024 14:06;32.1;21;9;29.2;29;8;35.2;47;11;28.0;62;8;31.0;55;9;tarde
Neutrogena Hydro Boost Kit – Hidratante Facial + Gel Creme para Olhos + Hidratante Corporal + Sérum - Kit; Neutrogena;265.9;05/09/2024 20:44;17.1;83;1;26.4;32;1;31.2;49;1;15.2;59;1;23.1;83;1;noite
Neutrogena Hydro Boost Kit – Hidratante Facial + Gel Creme para Olhos + Hidratante Corporal + Sérum - Kit; Neutrogena;265.9;11/09/2024 14:06;32.1;21;9;29.2;29;8;35.2;47;11;28.0;62;8;31.0;55;9;tarde
Neutrogena Hydro Boost Kit – Hidratante Facial + Gel Creme para Olhos + Sérum Facial + Água Micelar - Kit; Neutrogena;278.9;05/09/2024 20:44;17.1;83;1;26.4;32;1;31.2;49;1;15.2;59;1;23.1;83;1;noite
Neutrogena Hydro Boost Kit – Hidratante Facial + Gel Creme para Olhos + Sérum Facial + Água Micelar - Kit; Neutrogena;278.9;11/09/2024 14:06;32.1;21;9;29.2;29;8;35.2;47;11;28.0;62;8;31.0;55;9;tarde
Neutrogena Hydro Boost Kit – Hidratante Facial + Gel Creme para Olhos - Kit; Neutrogena;126.9;23/08/2024 15:07;32.4;17;9;31.1;22;9;38.4;29;11;16.1;82;5;34.1;34;9;tarde
Neutrogena Hydro Boost Kit – Hidratante Facial + Gel para Olhos + Hidratante Corporal + Sérum + Água Micelar - Kit; Neutrogena;337.9;05/09/2024 20:44;17.1;83;1;26.4;32;1;31.2;49;1;15.2;59;1;23.1;83;1;noite
